t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob
632.3804485797882	19.87365844924654	633.9315047264099	19.631683429127012	635.4775743484497	20.84175633746642	637.0039162635803	20.957414719331776	638.5473108291626	24.215126077141814	626.2291302680969	3.19506352	627.7691459655762	0.0327914543
646.2742927074432	19.87794955278225	647.8142595291138	19.640953192398786	649.3505306243896	20.854892804359064	650.9009337425232	20.971414831482388	652.4515337944031	23.8744590992707	640.0856175422668	3.19491161	641.637654542923	0.0327887614
660.1802551746368	19.898174552251515	661.7283489704132	19.658928977233067	663.2656195163727	20.85550805631859	664.8013341426849	20.99788884842309	666.3352031707764	24.163207175173444	653.9884521961212	3.19239195	655.5417218208313	0.0327901015
674.0338017940521	19.921653092627285	675.5730049610138	19.676104187860975	677.1195821762085	20.862873080827967	678.6721603870392	21.01201304424619	680.1963679790497	23.94160798097468	667.8832960128784	3.19434686	669.4320213794708	0.0327950286
687.8961043357849	19.92299677693301	689.432765007019	19.675648550486844	690.9716165065765	20.90345994608902	692.5076005458832	21.038176489732518	694.04816365242	23.737175446110566	681.7343173027039	3.19410036	683.2755310535431	0.0327945847
701.7767312526703	19.933233982024532	703.3236668109894	19.687610962002907	704.8633787631989	20.92564861878397	706.4027171134949	21.052017972480048	707.9500579833984	23.680581152850646	695.5812621116638	3.19425606	697.127099275589	0.0327936906
715.6710410118103	19.941404154416684	717.2154808044434	19.70599862760719	718.756587266922	20.945072721309497	720.3091442584991	21.079655083188925	721.8476903438568	23.94553072508843	709.499783039093	3.18834276	711.0394349098206	0.0327977257
729.5763244628906	19.960408583182762	731.1171708106995	19.704878841482127	732.6651699542999	20.940075715802404	734.2079544067383	21.1114537357512	735.7584638595581	23.95209009598212	723.3985993862152	3.19462779	724.9423265457153	0.0327932383
743.4925487041473	19.955407161070116	745.039915561676	19.71069400606934	746.5748777389526	20.958678790227793	748.1230573654175	21.15049380017256	749.6705615520477	23.869051658050086	737.3075797557831	3.19541267	738.8519999980927	0.0327936864
757.417468547821	19.972982878567564	758.9606552124023	19.73229427518195	760.5120193958282	20.952682832580567	762.0475940704346	21.158416795578983	763.5971176624298	24.041470893135273	751.2185554504395	3.1940287	752.7776029109955	0.0327923378
771.3070664405823	19.98194829607221	772.8339953422546	19.74207886887837	774.3878428936005	20.983309139264797	775.933102607727	21.18267530686569	777.460022687912	24.31811235925185	765.1322479248047	3.18872349	766.6872849464417	0.0327914437
785.1895201206207	20.001207216704284	786.7506687641144	19.743834483023043	788.2957832813263	20.969934487981593	789.8411393165588	21.249502334978136	791.3907916545868	24.03073404898984	779.0079324245453	3.19297901	780.5473034381866	0.0327959206
799.1439409255981	20.008615239238317	800.6872453689575	19.75067674163161	802.2368364334106	20.981571326790377	803.7713987827301	21.295604742196975	805.2997853755951	23.901369873888036	792.9464735984802	3.17812298	794.4912326335907	0.0327941282
